TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
"ROCK, THE",THE ROCK,OTHER,"JERRY BRUCKHEIMER AND MICHAEL BAY PROBABLY KNEW THEY COULD NOT OBTAIN ASSISTANCE FOR A SCRIPT WHICH SHOWS A RETIRED MARINE GENERAL THREATENING TO DESTROY SAN FRANCISCO WITH A ROCKET LAUNCHED FROM ALCATRAZ. FULL OF HOLES. AS WITH TWILIGHT'S LAST GLEAMING, ABSURD TO THINK A GENERAL WOULD PUT HIMSELF IN A POSITION WITH NO WAY OUT. ABSURD, BUT SOMETIMES EXCITING.",TRUE,6,"JERRY BRUCKHEIMER AND MICHAEL BAY PROBABLY KNEW THEY COULD NOT OBTAIN ASSISTANCE FOR A SCRIPT WHICH SHOWS A RETIRED MARINE GENERAL THREATENING TO DESTROY SAN FRANCISCO WITH A ROCKET LAUNCHED FROM ALCATRAZ. FULL OF HOLES... ABSURD TO THINK A GENERAL WOULD PUT HIMSELF IN A POSITION WITH NO WAY OUT. ABSURD, BUT SOMETIMES EXCITING.",,,TRUE,1996,6/7/1996,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer",Nominated for 1 Oscar. Another 9 wins & 8 nominations.,TRUE,USA,Michael Bay,"Action, Adventure, Thriller","Stanley Goodspeed, who lives in Washington D.C., is a biochemist who works for the FBI. Soon after his fianc̩e Carla Pestalozzi announces that she is pregnant, Stanley gets a call from FBI director James Womack. Womack tells Stanley that San Francisco's Alcatraz Island has been taken hostage, along with 81 tourists, by marine General Francis Xavier Hummel who, for years, has been protesting the government's refusal to pay benefits to families of war veterans who died during covert military operations. The death of his wife Barbara Hummel on March 9, 1995 drove General Hummel over the edge, and now he's holding hostages in order to get his point across. Stanley is needed because General Hummel has stolen some VX gas warheads and has announced that he will launch them onto San Francisco unless his demands are met. Stanley knows how to disarm the bombs, but Stanley needs someone who knows Alcatraz well enough to get him inside. That man is former British intelligence agent John Patrick Mason, who has been in prison for the past 30 years without a trial because he was accused of stealing the private files of J. Edgar Hoover. In 1962, John became the only inmate ever to escape from Alcatraz, and he stayed out of Alcatraz long enough to father a daughter named Jade Angelou. Despite his extreme hatred of the FBI, John agrees to help Stanley. When John and Stanley are sent into Alcatraz with a Navy SEAL team, General Hummel's men kill the entire SEAL team, leaving Stanley and John to work on their own to rescue the hostages.",https://m.media-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,,136,The Rock,66%,58,7.4,tt0117500,"308,131"
THIRTY SECONDS OVER TOKYO,THIRTY SECONDS OVER TOKYO,APPROVED,"STORY OF DOOLITTLE'S RAID ON JAPAN FROM VIEW OF TED LAWSON, ONE OF THE PILOTS. ARMY AIR CORPS PROVIDED FULL COOPERATION IN FORM OF B-25 BOMBERS, LOCATION SHOOTING AT EGLIN AIR FORCE BASE WHERE ACTUAL TRAINING TOOK PLACE, AND LOAN OF THREE PLANES FOR SHOOTING ON MGM SOUNDSTAGE. REASONABLY ACCURATE EXCEPT FOR NOT IDENTIFYING CHINESE RESCUERS AS BEING COMMUNISTS",,,,,,TRUE,1944,11/1/1944,"Van Johnson, Robert Walker, Tim Murdock, Don DeFore",Won 1 Oscar. Another 1 win & 1 nomination.,TRUE,USA,Mervyn LeRoy,"Drama, History, War","The amazingly detailed true story of ""The Doolittle Raid"" based on the personal account by Doolittle Raider Ted Lawson. Stunned by Pearl Harbor and a string of defeats, America needed a victory - badly. To that end, Colonel Jimmy Doolittle, a former air racer and stunt pilot, devises a plan for a daring raid on the heart of Japan itself. To do this, he must train army bomber pilots to do something no one ever dreamed possible - launch 16 fully loaded bombers from an aircraft carrier! Remarkable in its accuracy, this movie even uses film footage from the actual raid.",https://m.media-amazon.com/images/M/MV5BNzZmZjg1ZDAtY2VkYi00YTY1LWFmMzQtNjc4NmZmNmE1MjQxL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Passed,World War I,138,Thirty Seconds Over Tokyo,100%,,7.3,tt0037366,"5,262"
IN HARM'S WAY,IN HARM'S WAY,APPROVED,"OTTO PREMINGER BEGAN HIS MOVIE IN PEARL HARBOR ON DECEMBER 7, 1941. STOCKED FILM WITH JOHN WAYNE, KIRK DOUGLAS. FILM POSITIVE, BUT CONTAINS INACCURATE PORTRAYALS INCLUDING PARATROOP MARINES. WAYNE GOES ON MISSION EVEN THOUGH HE KNEW BATTLE PLAN. LATER LOSES LEG, BUT STAYS IN SERVICE DUE TO REGULATIONS. NAVY PROVIDED SHIPS AND LOCALES, BUT BATTLE TAKES PLACE WITH MODELS",,,,,,TRUE,1965,4/6/1965,"John Wayne, Kirk Douglas, Patricia Neal, Tom Tryon",Nominated for 1 Oscar. Another 1 win.,TRUE,USA,Otto Preminger,"Drama, War",On patrol the morning of December 7th commanding a cruiser Captain Torrie receives word of the attack on Pearl Harbor. His orders are to find the Japanese force and attack it. The picture tells the story of three families during the outbreak of World War ll.,https://m.media-amazon.com/images/M/MV5BOTAxZGU5YzUtZDRlMy00MjJlLTllYzQtZDI2M2Y2ODNiOGM5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Approved,Vietnam War,165,In Harm's Way,38%,,7.3,tt0059309,"7,911"
BATTLEGROUND,BATTLEGROUND,APPROVED,"CLASSIC ARMY PICTURE SET IN THE BATTLE OF THE BULGE. FOCUS ON ARMY UNIT TRYING TO HOLD THE LINE. EXCEPT FOR VERY SMALL AMOUNT OF COMBAT FOOTAGE AND ONE OUTDOOR SCENE, MOVIE SHOT ENTIRELY ON MGM SET. ARMY PROVIDED SOME SOLDIERS TO SERVE AS EXTRAS AND TRAIN ACTORS. CONSIDERED BY SOME TO BE ONE OF BEST WORLD WAR II FILMS",,,,,,TRUE,1949,1/20/1950,"Van Johnson, John Hodiak, Ricardo Montalban, George Murphy",Won 2 Oscars. Another 3 wins & 5 nominations.,TRUE,USA,William A. Wellman,"Action, Drama, History, War","We follow a band of American soldiers as they engage the Germans in a snowy, foggy winter near Bastogne in World War II. They're low on fuel, rations, and ammunition; the Germans are constantly encouraging their surrender via radio and leaflets, and most importantly, the pervasive thick fog makes movement and identification difficult and prevents their relief by Allied air support. This film focuses much more on the psychology and morale of the soldiers than on action footage and heroics.",https://m.media-amazon.com/images/M/MV5BYTYzOGIyNGQtZDljZi00NGYzLThkOTktNzNhMTM1M2Y1NDlhL2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,Approved,,118,Battleground,75%,,7.4,tt0041163,"6,402"
MISTER ROBERTS,MISTER ROBERTS,APPROVED,"NAVY VERY RELUCTANTLY PROVIDED ASSISTANCE IN FORM OF FREISHTER AND SOME MEN. NOT A GOOD IMAGE MADE OF THE NAVY OR ITS OFFICERS. HOWEVER, JOHN FORD WAS TO DIRECT AND HE HAD A LONG STANDING RELATIONSHIP WITH THE NAVY--""PEARL HARBOR,""(DOC), ""MIDWAY,"" (DOC), ""MEN WITHOUT WOMEN,"" 'THEY WERE EXPENDABLE,"" ETC. SD FINALLY AGREED TO PROVIDE A WORLD WAR II MERCHANT SHIP.",,,,,,TRUE,1955,7/30/1955,"Henry Fonda, James Cagney, William Powell, Jack Lemmon",Won 1 Oscar. Another 2 wins & 5 nominations.,TRUE,USA,"John Ford, Mervyn LeRoy, Joshua Logan","Comedy, Drama, War","Mister Roberts is aboard a US cargo ship, working in the Pacific during the Second World War. He'd do anything to leave the quiet of the ship to join in the ""action"". Trouble is, the captain of the ship, is a bit of a tyrant, and isn't willing to sign Roberts' transfer requests. Also on board is Ensign Pulver, who avoids work as best he can, whilst living off the riches of his buying and selling. Roberts and the crew are in constant battle, even over the smallest of disagreements.",https://m.media-amazon.com/images/M/MV5BODc0ZGUzNDQtNzRmOC00MjVkLWE4MjgtMDYwNGJiZDI1YzNjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Not Rated,,123,Mister Roberts,92%,,7.7,tt0048380,"15,053"
BATTLE CRY,BATTLE CRY,APPROVED,"THIS IS THE QUINTESSENTIAL MARINE FILM OF THE POST-WAR PERIOD. JOHN WAYNE MAY HAVE BEEN THE MARINE FOR MOST AMERICANS, BUT SOME FORMER MARINES SAY ""BATTLE CRY"" BETTER REPRESENTED THEIR EXPERIENCES IN BOOT CAMP AND IN THE PACIFIC. RECEIVED FULL COOPERATION AT THE RECRUIT DEPOT IN SAN DIEGO, CAMP PENDLETON, AND DURING A TRAINING EXERCISE ON VIEQUES ISLAND (PUERTO RICO).",,,,,,TRUE,1955,2/2/1955,"Van Heflin, Aldo Ray, Mona Freeman, Nancy Olson",,FALSE,USA,Raoul Walsh,"Drama, Romance, War","In 1942, a group of young men join the Marines, leaving loved ones behind. Primed for battle, they are frustrated by many non-combat assignments, as we follow their wartime romances, especially Andy Hookens' involvement with Pat, a New Zealand widow. Andy and Pat have just decided that war requires them to 'live for the moment' when, in 1944, our team finally goes into a real battle...",https://m.media-amazon.com/images/M/MV5BYzEzZjkwMTMtNjFlOS00M2JmLWIyMWItNjc3YWEyMWY1YjllXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Approved,,149,Battle Cry,43%,,6.5,tt0047860,"2,059"
COCOON,COCOON,DENIED,"AIR FORCE ASSISTANCE WAS DENIED SINCE THE FILM PORTRAYED THE AIR FORCE UNREALISTICALLY, THE IMAGE OF THE AIR FORCE WAS PORTRAYED UNPROFESSIONALLY, AND THIRDLY, THE BASIC STORYLINE IS CONTRARY TO AIR FORCE POLICY ON UFO'S--THE AIR FORCE HAS ALWAYS REFUSED TO PROVIDE ASSISTANCE TO STORIES THAT SHOW UFOS AS REAL INCLUDING ""CLOSE ENCOUNTERS OF THE THIRD KIND"" AND ""STAR MAN.""",,,,,,TRUE,1985,6/21/1985,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy",Won 2 Oscars. Another 5 wins & 11 nominations.,TRUE,USA,Ron Howard,"Comedy, Drama, Sci-Fi","A group of aliens return to earth to retrieve cocoons containing the people they'd left behind from an earlier trip. These cocoons had been resting at the bottom of the ocean. Once retrieved, they stored these recovered cocoons in the swimming pool of a house they'd rented in a small Florida town. Their mission is hampered by a number of elderly people from a nearby retirement community who had been secretly using the pool, and who discover unusual powers from within these cocoons.",https://m.media-amazon.com/images/M/MV5BYzFiMWRiZTItMjViNy00ZjUzLTg1MTMtNTU4OGRlNzA2MTc2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,117,Cocoon,79%,65,6.7,tt0088933,"56,610"
CRIMSON TIDE,CRIMSON TIDE,APPROVED,FILMMAKERS ADVISED SAAV (OVER TELEPHONE) THAT THEY WERE NOT INCLINED TO REDUCE ARM ED MUTINY TO WAR OF WORDS/CONTEST OF WILLS. NEITHER PRODUCER JERRY BRUCKHEIMER NOR DIRECTOR TONY SCOTT EVER ENTERED INTO ACTUAL NEGOTIATIONS - NAVY PROBABLY OPPOSED TO ANY KIND OF MUTINY (PARTICULARLY AN ARMED MUTINY). SAAV FAXED AUTHORIZATION FOR STOCK FOOTAGE TO MMRC (IN LIEU OF FOIA REQUEST).,,,,,,TRUE,1995,5/12/1995,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",Nominated for 3 Oscars. Another 5 wins & 6 nominations.,TRUE,USA,Tony Scott,"Action, Drama, Thriller, War","When some Russian rebels takes control of some ICBM's, the Americans mobilize. Among the vessels sent is the nuclear sub, the Alabama. But before they leave they need a new X.O. and among the choices is Commander Hunter, who hasn't seen much action. But the ship's Captain, Ramsey OK's him. While on the way, there was an incident and Hunter disagreed with how Ramsey handled it, it's evident that Ramsey doesn't think much of Hunter because Hunter was college educated while Ramsey worked his way up. They're given orders to attack but when they were in the process of receiving another order, the ship's communications were damaged, so the entire message was not received. Ramsey decides to continue with their previous order while Hunter wants to reestablish contact first. That's when the two men butt heads that ends with Hunter relieving Ramsey. Later when some men die, some of the officers feel that Hunter is not up to the task so they team up to retake control. But Hunter has taken precautions.",https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,,116,Crimson Tide,88%,66,7.3,tt0112740,"99,704"
SOUTHERN COMFORT,SOUTHERN COMFORT,APPROVED,"AFTER SOME HESITATION, THE LOUISIANA NATIONAL GUARD PROVIDED MEN AND A HELICOPTER FOR FILMING A NON-VIETNAM, VIETNAM STORY ABOUT A NATIONAL GUARD UNIT THAT GOES INTO THE BAYOUS FOR WEEKEND TRAINING AND ENCOUNTER CAJUN NATIVES. WHEN THE UNIT STEALS SOME CANOES, THE NATIVES START PICKING OFF THE NATIONAL GUARDSMEN. THE FILMMAKERS ACKNOWLEDGED THAT THE MOVIE WAS A PARABLE FOR VIETNAM",,,,,,TRUE,1981,9/25/1981,"Keith Carradine, Powers Boothe, Fred Ward, Franklyn Seales",,FALSE,USA,Walter Hill,"Action, Thriller","A squad of National Guards on an isolated weekend exercise in the Louisiana swamp must fight for their lives when they anger local Cajuns by stealing their canoes. Without live ammunition and in a strange country, their experience begins to mirror the Vietnam experience.",https://m.media-amazon.com/images/M/MV5BMWFiNGJhN2UtNWY0My00ZWFlLTk2NzMtZTg5OTI5ZThjYWVhXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,R,,106,Southern Comfort,79%,63,7.2,tt0083111,"15,877"
BORN ON THE 4TH OF JULY,BORN ON THE 4TH OF JULY,OTHER,"MUCH DISCUSSION OF SCRIPT. DOD FIRST REFUSED, BUT MARINES CONTINUED NEGOTIATIONS AND ULTIMATELY APPROVED SCRIPT WITH STRICT GUIDELINES FOR SHOOTING AT PARIS ISIAND. FUNDING ULTIMATELY FELL THROUGH WHEN PACINO DROPPED OUT. PROJECT RESURRECTED IN THE LATE 1980'S, WITH OLIVER STONE AS DIRECTOR. NO ONE CAME BACK TO DOD FOR ASSISTANCE, MADE IN MEXICO WITH SAME SCRIPT THE SECOND TIME AROUND",,,,,,TRUE,1989,1/5/1990,"Tom Cruise, Bryan Larkin, Raymond J. Barry, Caroline Kava",Won 2 Oscars. Another 13 wins & 26 nominations.,TRUE,USA,Oliver Stone,"Biography, Drama, War","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",https://m.media-amazon.com/images/M/MV5BMTgwNDk5NTA0NF5BMl5BanBnXkFtZTgwMTkyMDUxMDE@._V1_SX300.jpg,R,,145,Born on the Fourth of July,85%,75,7.2,tt0096969,"96,893"
DEJA VU,DEJA VU,APPROVED,"APPROVED FILMING AT CAMP MINDEN, LA (ARMY NATIONAL GUARD SITE) FOR APPROXIMATELY 20 DAYS. VARIOUS VEHICLES WERE EMPLOYED THAT WERE NOT REASONABLY AVAILABLE FROM COMMERCIAL SOURCES. FILMING TOOK PLACE A VARIOUS LOCATIONS, INCLUDING A BAYONET ASSAULT COURSE. APPROXIMATELY 10 SOLDIERS OPERATED AND MAINTAINED THE EQUIPMENT AND THERE WERE ALSO A SMALL NUMBER OF OFF-DUTY SOLDIERS WHO PERFORMED AS BACKGROUND EXTRAS.",,,,,,TRUE,2006,11/22/2006,"Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel",1 win & 6 nominations.,TRUE,"USA, UK",Tony Scott,"Action, Crime, Sci-Fi, Thriller","A ferry filled with crewmen from the USS Nimitz and their families was blown up in New Orleans on Mardi Gras. BATF Doug Carlin is brought in to assist in the massive investigation, and gets attached to an experimental FBI surveillance unit, one that uses spacefolding technology to directly look back a little over four days into the past. While tracking down the bomber, Carlin gets an idea in his head: could they use the device to actually travel back in time and not only prevent the bombing but also the murder of a local woman whose truck was used in the bombing?",https://m.media-amazon.com/images/M/MV5BMzEwNTAwNjEwMV5BMl5BanBnXkFtZTYwMzgzMjA3._V1_SX300.jpg,PG-13,Iraq War,126,Deja Vu,56%,59,7,tt0453467,"289,578"
BATTLESHIP,BATTLESHIP,APPROVED,"APPROVED FILMING OF RIMPAC 2010. FILMED ON BOARD DDG-51 ARLEIGH BURKE CLASS DESTROYERS IN PORT AND UNDERWAY. FILMED FOR SEVERAL DAYS AT NAVAL BASE PEARL AND USS MISSOURI, AND IN AND AROUND THE VICINITY OF HONOLULU, HI, DURING THE SUMMER OF 2010. ALSO FILMED FOR ONE DAY, NOVE 20, 2010, AT THE INTREPID CENTER, BROOKE ARMY MEDICAL CENTER, SAN ANTONIO, TX.",,,,,,TRUE,2012,5/18/2012,"Taylor Kitsch, Alexander Skarsg̴rd, Rihanna, Brooklyn Decker",4 wins & 16 nominations.,TRUE,USA,Peter Berg,"Action, Adventure, Sci-Fi, Thriller","A naval war ship encounters an alien armada and faces the biggest threat mankind has ever faced. If they lose, the world could face a major extinction event and an alien invasion. Will humans win this alien war, what are the aliens doing here, and what do they want? Based on the Hasbro naval war game.",https://m.media-amazon.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_SX300.jpg,PG-13,,131,Battleship,34%,41,5.8,tt1440129,"234,146"
DOWN PERISCOPE,DOWN PERISCOPE,DENIED,"INFORMALLY PROVIDED SCRIPT FOR COMMENT & FEEDBACK. ADVISED LINE PRODUCER THAT SUPPORT WAS HOPELESS, GIVEN NEGATIVISM AND INACCURACIES AND THE FACT THAT THE FILM WAS BEING RUSHED INTO PRODUCTION, SO THE COMPANY WAS UNABLE TO MAKE HUGE CHANGES. DOD APPROVED OF THE NAVY WORKING WITH THE MARITIME ADMINISTRATION TO USE A MOTHBALLED SUBMARINE, WHICH WAS TOWED IN FRONT OF THE CAMERAS.",,,,,,TRUE,1996,3/1/1996,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",,FALSE,USA,David S. Ward,Comedy,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal), he's headed against the atomic powered USS Orlando, with the mission to destroy a dummy battleship.",https://m.media-amazon.com/images/M/MV5BMTlkNGU1NDctNDAwZC00ZThlLWE4YTgtMWU5YjJjYzIyY2VjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,PG-13,,92,Down Periscope,12%,39,6.2,tt0116130,"20,738"
GARDENS OF STONE,GARDENS OF STONE,OTHER,"THE REQUEST FOR INSTALLATION, PERSONNEL, EQUIPMENT, AND ANIMALS WAS APPROVED. THE REQUEST FILM PERFECT EXAMPLE OF DOD DENYING HELP TO A FILMMAKER ON ONE PROJECT (APOCALYPSE NOW) AND THEN GIVING FULL COOPERATION TO ANOTHER. SOME FEEL THAT THE FILM CONTAINS A POWERFUL ANTI-WAR AND ANTI-VIETNAM WAR MESSAGE, ONE OF THE STRONGEST, IF NOT STRONGEST IN ANY FILM WHICH RECEIVED DOD ASSISTANCE.",,,,,,TRUE,1987,5/8/1987,"James Caan, Anjelica Huston, James Earl Jones, D.B. Sweeney",2 nominations.,TRUE,USA,Francis Ford Coppola,"Drama, Romance, War","In the late 60s, during the Vietnam War, the idealistic soldier Jackie Willow arrives at Fort Meyer expecting to go to the Academy and then to the Vietnam War. Jackie is the son of a veteran sergeant and soon he becomes the prot̩g̩ of the former friends of his father, Sergeant Clell Hazard and Sergeant Major 'Goody' Nelson. Jackie is promoted and gets married with his childhood friend Rachel Feld, to recommend Jackie to the Academy. He is promoted to lieutenant and asks to go to the Vietnam, returning to the Arlington National Cemetery.",https://m.media-amazon.com/images/M/MV5BMjk5ZDU2MTYtZDI1ZS00N2UyLWE4ZjAtYjViN2IyMjI3YjUxXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,R,,111,Gardens of Stone,47%,,6.4,tt0093073,"5,026"
GREEN DRAGON,GREEN DRAGON,APPROVED,"DOD APPROVED FILMING FOR APPROXIMATELY 4 WEEKS AT A RELATIVELY REMOTE TRAINING AREA AT MARINE CORPS BASE CAMP PENDLETON, CA. INCLUDED USE OF QUONSET HUTS, OTHER STRUCTURES, OFF-DUTY MARINE EXTRAS; MINIMAL IMPACT ON INSTALLATION, EXCELLENT DEPICTION OF ACTUAL HISTORICAL VIETNAMESE REFUGEE CAMP SET UP AFTER THE FALL OF SAIGON IN 1975. PATRICK SWAYZE PLAYS A VERY SYMPATHETIC AND HELPFUL MARINE GUNNERY SERGEANT.",,,,,,TRUE,2001,4/23/2004,"Patrick Swayze, Forest Whitaker, Duong Don, Hiep Thi Le",2 wins & 3 nominations.,TRUE,USA,Timothy Linh Bui,Drama,"A tale about Vietnamese refugees sent to an orientation camp on the Camp Pendleton Marine Base in California, 'Green Dragon' focuses on a young boy and his sister. Set in 1975, the film chronicles the stories told to the two children by other refugees in the camp and of Tai Tran, who dares to introduce himself to Sergeant Jim Lance. In developing a relationship with Lance, Tran is able to improve conditions and communication for all in the refugee camp.",https://m.media-amazon.com/images/M/MV5BMTI4Mzk3MDg1Nl5BMl5BanBnXkFtZTcwOTk1NjEzMg@@._V1_SX300.jpg,PG-13,Iraq War,115,Green Dragon,61%,49,6.1,tt0229002,"1,039"
AN OFFICER AND A GENTLEMAN,AN OFFICER AND A GENTLEMAN,DENIED,"THE NAVY DECLINED BECAUSE OF DAMAGING PORTRAYAL OF NAVY SINGLE PARENT LIFESTYLE, NEGATIVE PORTRAYAL OF WOMEN LIVING AROUND AIR STATION, AND A FIGHT BETWEEN OFFICER CANDIDATE AND DRILL INSTRUCTOR. FILMMAKERS WOULDN'T CHANGE THESE SCENES, SO ASSISTANCE BECAME IMPOSSIBLE. MARINES OFFERED TO COOPERATE, BUT PRODUCER DID NOT HAVE TIME. STILL, MARIN ES PROVIDED A DI. AS TECHNICAL ADVISOR AND OFF-DUTY MARINES AS EXTRAS",,,,,,TRUE,1982,8/13/1982,"Richard Gere, Debra Winger, David Keith, Robert Loggia",Won 2 Oscars. Another 7 wins & 13 nominations.,TRUE,USA,Taylor Hackford,"Drama, Romance","Zack Mayo is a young man who has signed up for Navy Aviation Officer Candidate School. He is a Navy brat who has a bad attitude problem. GySgt Foley is there to train and evaluate him and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family and must decide what it is he wants to do with his life.",https://m.media-amazon.com/images/M/MV5BNTM5NmY2MTktODRiMS00NTQwLTk2ODEtZTFhYjAyMTZmMTc5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,R,,124,An Officer and a Gentleman,79%,75,7,tt0084434,"48,621"
