Title,Subtitle,Status,Year,Remarks,Interesting?
WHISKEY TANGO FOXTROT,,APPROVED,2016,"The production company filmed for several days at Kirtland AFB, because of  positive, if short AF portrayal, which was edited out of the final version. The script portrayed a US Army transport brake failure, resulting in it hitting a group of Afghani shoppers in Kabul, killing and injuring them. This was changed to an NGO vehicle. Considerable Marine Corps portrayal, though the Marine Corps only provided on—set uniform and other technical advice. The primary motivation in providing support was the very last act, in which the Tina Fey character visits the home of a young Marine who had suffered the loss of both legs in combat. His character is the complete opposite of the stereotypical ""wounded warrior, ” as he and his young family are doing quite well, and sets the reporter in pursuit of a new, positive lifestyle.",
WHISKEY TANGO FOXTROT,,APPROVED,2015,"Navy embedded a production company splinter unit onboard USS Nimitz 9. 11 April 2013 to film day and night flight operations that included jets, helicopters, touch n goes, flyovers and flight maneuvers. Also coordinated for pierside access to a carrier to cover sounding general quarters and manning battle—stations drills simulated battle operations on the bridge CDC bridge wings manning the watch over the shoulder shots of Sailors looking to sea sickbay crew mess and quarters and hangar bay ops. Also filmed the USS George Washington Carrier Strike Group underway.   Army provided an Apache [AH—64), a Blackhawk (UH-60), a variant of the High Mobility Multipurpose Wheeled Vehicle (HMMWV), a variant of the Family of Medium Tactical Vehicles (FMTV) and a variant of the Stryker Light Armored Vehicle for the purpose of LIDAR 3D modeling and Computer Generated Imagery (GI). Also The US. Army provided three (3) High Mobility Multipurpose Wheeled Vehicles (HMWVs), two (2) troop transport trucks, approximately thirty (30) Army personnel (as extras), and one (I) Black Hawk helicopter in flight (flight plan approved and subject to budget estimate per flight hour when training mission unavailable) for purpose of filming rescue/humanitarian/FEMA—type scene in Waikiki, Hawaii on 13Jul2013  Air Force provided for filming/photographing of a C-17 to be used for depicting troops offloading from a deployment at Joint Base Pearl Harbor-Hickam provided for a static C-17 at Joint Base Pearl Harbor-Hickam to allow for filming of two configurations — inside and outside-— to show passenger—seats configuration and a Halo jump setting as well as use of exterior green screen to simulate HALO jump. Use of the C-17 was provided for 3- continuous days to include rigging, filming and wrap (tear down—removal of all equipment).",
WHO'S LOOKING AFTER THE BABY,,DENIED,,THE FILM WAS DENIED BECAUSE IT HAD NOTHING AT ALL TO DO WITH THE SERVICES. THE ARMY DID NOT WANT TO ROUTINELY BECOME INVOLVED IN PROJECTS THAT DID NOT PERTAIN TO THE ARMY IN ANY FASHION.,
WILD AMERICA,,APPROVED,1997,"ESSENTIALLY A NON-MILITARY PICTURE, WITH A BRIEF SCENE TAKING PLACE AT AN ARMY HOSPITAL — MINIMAL, BUT REASONABLY ACCURATE & POSITIVE",
WINDTALKERS,,APPROVED,2002,"DOD APPROVED FILMING AT VARIOUS SITES AT MARINE CORPS BASE KANEOHE BAY, HI, FOR APPROXIMATELY FOUR WEEKS. INCLUDED USMC AND NAVY IN HAWAII AND CALIFORNIA. MILITARY EXTRAS, VEHICLES, TECHNICAL ADVISORS, ROUTINE ASSISTANCE. FILM IS POSITIVE DEPICTION OF RELATIONSHIP BETWEEN A MARINE INFANTRY NCO ASSIGNED TO PROTECT A MARINE NAVAJO CODE TALKER IN THE PACIFIC THEATER DURING WWII. ACTION ADVENTURE GENRE PICTURE DIRECTED BY JOHN WOO.",
WING AND A PRAYER,,APPROVED,1944,FICTIONALIZED STORY OF BATTLE OF MIDWAY. NAVY ALLOWED FILM MAKERS TO TRAVEL ABOARD THE USS YORKTOWN ON ITS SHAKEDOWN CRUISE AND FILM LANDINGS AND TAKEOFFS. COMBINED FOOTAGE INTO STANDARD STORY OF HOW SENIOR OFFICER TURNS NEW MEN INTO FIGHTING UNIT.,
WINGS,,APPROVED,1927,"FIRST ACADEMY AWARD FOR BEST PICTURE WHICH SET STANDARD OF COOPERATION FOR ALL SERVICES. ARMY AND ARMY AIR CORPS PROVIDED ASSISTANCE IN TEXAS FOR NINE MONTHS, INCLUDING USE OF VIRTUALLY ENTIRE COMPLEMENT OF AIRPLANES.",
WINGS OF EAGLES,,APPROVED,1957,"STORY OF EARLY NAVY AVIATOR, SPIG WEAD. AFTER HE SUFFERED A PARALYZING ACCIDENT, WENT TO HOLLYWOOD AND BECAME SCREENWRITER, PARTICULARLY OF NAVY STORIES THAT HELPED RECRUITING, ETC. WORKED EXTENSIVELY WITH JOHN FORD AND JOHN WAYNE PLAYED WEAD IN THIS SOMEWHAT FICTIONALIZED STORY. PARTICULAR COOPERATION ON WORLD WAR II SEQUENCES WHERE WEAD RETURNS TO ACTIVE DUTY AND IS CREDITED WITH DEVELOPING CONCEPT OF AUXILIARY CARRIERS.",
WITHOUT GLORY,,APPROVED,,"APPROVED BY THE DEPARTMENT SINCE IT WAS BASED PRIMARILY, BUT NOT WHOLLY, ON ACTUAL INCIDENTS. REQUEST FOR STOCK FOOTAGE WAS APPROVED. NO RECORD OF FILM BEING MADE.",
X-15,,APPROVED,1961,AIR FORCE AND NASA PROVIDED FULL COOPERATION ON DOCUDRAMA ABOUT X-15 PROGRAM,
"YOUNG LIONS, THE",,APPROVED,1958,"PENTAGON AND STATE DEPARTMENT WENT THROUGH LONG PERIOD OF NEGOTIATIONS BEFORE AGREEING TO COOPERATION. PART OF PROBLEM WAS PORTRAYAL OF GERMAN OFFICER PORTRAYED BY MARLON BRANDO. IN IRWIN SHAW‘S BOOK, HE WAS A CRUEL NAZI. GIVEN REHABILITATION OF GERMAN IMAGE DUE TO COLD WAR ALLIANCES, BRANDO BECOMES A GUILT-STRUCK, GOOD GERMAN. ANTI-SEMITISM WITHIN ARMY ALSO PLAYED DOWN",
